trial_id,arm_idx,n_h,p_hat,ess_elir,mu_pred,sigma2_pred,rho,sigma_phi,sigma_eps,frac_structured,w_sum
advance_dakrd,0,148.0,0.5878378378378378,5.64817971325933,-0.03633040859049835,0.9161895747294097,0.45445299740498873,0.8992974958448228,0.9209406748833636,0.4881113801904084,24.947619047619046
advance_krd,1,139.0,0.3309352517985611,5.652717112825587,-0.06088732911219871,0.9123301575998164,0.4505769443725993,0.9135189933988066,0.9177062288112071,0.4977134360814463,25.18444444444444
alcyone_dvmp,2,350.0,0.28,5.565832451107311,-0.15785561414232185,0.9429674337044434,0.43545750895242896,0.8964219622540414,0.9133956105767417,0.49062217334945996,15.683888888888887
alcyone_vmp,3,356.0,0.0702247191011236,6.3048305754072915,-0.14153328856038694,0.7944351937766413,0.46368574679202684,0.7603445078742542,0.8461811990435057,0.4467220819128655,14.74388888888889
benefit_isard,4,135.0,0.2592592592592592,5.6674136555119246,-0.0980284638504787,0.9124509862051449,0.442718525327919,0.9090674766146842,0.9096818041568226,0.49966222531134796,20.719999999999995
benefit_isavrd,5,135.0,0.5333333333333333,5.625779725303197,-0.1360265923316775,0.9237592141784512,0.4508036430089372,0.9049924714347869,0.9226547746563851,0.4903369460957754,23.852063492063486
cassiopeia_dvtd,6,543.0,0.6390423572744015,5.643768183380089,-0.0697804845423774,0.9146565589992344,0.4496758651855125,0.8983218554057795,0.9159959535172181,0.49025946778294205,22.5115873015873
cassiopeia_vtd,7,542.0,0.4391143911439114,5.594947856299782,-0.10261900816329882,0.9302914918095249,0.44772735186792756,0.9061492375483025,0.9233619172854434,0.4905924835652599,22.371111111111112
cepheus_dvrd,8,197.0,0.6091370558375635,5.674438089046304,-0.13456238541312948,0.9141294967503175,0.451119469415774,0.9056268302814892,0.9180798445154873,0.49317190983372916,24.296666666666663
cepheus_vrd,9,198.0,0.3888888888888889,5.65995173678646,-0.1727222017243714,0.9208991911641525,0.45234560999922696,0.9051069065879271,0.9225317964663543,0.49046676671534484,24.722777777777775
derman_dakrd,10,42.0,0.6190476190476191,5.662146034899254,-0.0898797985675552,0.9143026438022375,0.4523801518800653,0.9023857353783606,0.918816633084941,0.4909787288436399,24.47539682539682
determination_vrd,11,357.0,0.3977591036414565,5.658358433106306,-0.13765818122912207,0.9190045644800916,0.4535746671113981,0.906498122297396,0.9227591564415097,0.4911112835471697,25.627222222222223
determination_vrd_asct,12,365.0,0.5452054794520548,5.645331828724862,-0.12987621923440817,0.9178840463185396,0.4540162617674689,0.9050866916959733,0.922373621047629,0.4905413088941932,25.682777777777776
elokrd,13,45.0,0.5777777777777777,5.605523010385137,-0.14292691091674933,0.929577574726386,0.44538332067304626,0.9048846820048952,0.9204579089864624,0.49146894748730374,21.083730158730155
endurance_krd,14,526.0,0.1026615969581749,6.292262905553824,-0.05683325155470917,0.7909647069607402,0.4245981853700578,0.9799254265663151,0.8389021149816493,0.5770719498683127,24.577777777777776
endurance_vrd,15,527.0,0.0721062618595825,6.66480979480037,-0.07891280650050811,0.7345356016910658,0.4073639782379372,1.0295798982962767,0.7977848648076005,0.624837963635315,25.077777777777776
forte_krd12,16,158.0,0.5569620253164557,5.661273958836893,-0.12787323850563695,0.918362477074386,0.4530938324002655,0.9047441043698072,0.9218476175726968,0.49063719957926444,25.14388888888889
forte_krd_asct,17,158.0,0.5822784810126582,5.643415197853895,-0.1003479717649047,0.915752621607294,0.4536044091523811,0.9031468774899921,0.9206786026550225,0.49038827698486764,25.199444444444442
gmmg_concept_isakrd,18,99.0,0.6767676767676768,5.676651966334025,-0.048554204658633596,0.9074111964550139,0.45130342494480363,0.8944931278638251,0.9131047986269514,0.4897047360010335,22.85595238095238
gmmghd7_isavrd,19,330.0,0.5,5.61688974452822,-0.0650710686327825,0.9229813187167264,0.45305984023500073,0.9037037474666421,0.9239489391876332,0.4889242042426509,24.80428571428571
gmmghd7_vrd,20,330.0,0.3606060606060606,5.650106734352194,-0.10109325282819676,0.9150301507265023,0.4526791451480308,0.9097870759682292,0.9203854951024311,0.4942092544190464,25.711666666666666
griffin_dvrd,21,104.0,0.6442307692307693,5.679424916216046,-0.07467591573129645,0.9067320476198951,0.45397532559575676,0.9011964771486725,0.9160424976773326,0.491830997488715,25.26222222222222
griffin_vrd,22,103.0,0.3009708737864077,5.690344429312905,-0.09187464217753491,0.9062147100278504,0.45101602426928633,0.9140824503521925,0.9150781464430859,0.4994556542505886,25.691666666666663
ifm2009_vrd_asct,23,350.0,0.6285714285714286,5.708936049195974,-0.14376443919492568,0.9067993771707437,0.45294996950392596,0.9072044854351232,0.9161108015028192,0.4951154341595332,25.694999999999997
ifm2009_vrd_noasct,24,350.0,0.4885714285714285,5.654629251980548,-0.15247860563796545,0.9209879041878986,0.4539218179411211,0.9053999893517838,0.9239638633092431,0.4898533238812336,25.639444444444443
ifm201804_dakrd,25,50.0,0.62,5.648164433687969,-0.036221957716440226,0.9133769623471106,0.4542705254268705,0.8984527011952074,0.9192852223107332,0.48854082048337233,24.818730158730155
iskia_isakrd,26,151.0,0.7880794701986755,5.91278545002682,-0.08260045649590755,0.8621404539289222,0.45084036597530147,0.9009954396661405,0.8899551441077488,0.506164254967662,24.46095238095238
iskia_krd,27,151.0,0.6291390728476821,5.680706971865457,-0.10715352550052779,0.9089493105848093,0.45329404800506834,0.9035095847183852,0.9169044896800009,0.49264223455827527,25.18611111111111
maia_drd,28,368.0,0.3206521739130434,5.6186123059958835,-0.09532673964687766,0.9231580328361875,0.4441575643214347,0.9091214332220484,0.9166722124834431,0.49586445591042255,21.20333333333333
maia_rd,29,369.0,0.1111111111111111,6.122627042642584,-0.11874128170773722,0.823433880273859,0.44179339877179147,0.9018570316732676,0.8605856660744515,0.5234043049399967,20.96388888888889
manhattan,30,41.0,0.7073170731707317,5.7308760603631335,-0.09809989682356268,0.89842762180916,0.45138691297162714,0.9026799890109705,0.9098353187584527,0.49605232672765565,24.343730158730157
master,31,123.0,0.7073170731707317,5.7427283038823225,-0.052618294721811856,0.8932571296575054,0.45389445841755555,0.8973734398624554,0.9082841663262162,0.4939576982548448,24.781507936507936
midas_isakrd,32,791.0,0.629582806573957,5.672324932609019,-0.0852866552159849,0.9103228278047033,0.4524211886866904,0.9017958478125557,0.9166568335753186,0.4918282210683271,24.44539682539682
perseus_dvrd,33,355.0,0.7492957746478873,5.8394145475987065,-0.09437520932151068,0.8743204379166869,0.4514844852639765,0.9058185993865074,0.8976154402626527,0.5045485386341654,25.27444444444444
perseus_vrd,34,354.0,0.480225988700565,5.639268109140058,-0.1206722234205094,0.9210362635239417,0.45420052507885705,0.9051575770904395,0.9241365818160593,0.4896260741202177,25.71833333333333
